"built_work_site_foreign_key","site_data","building_name_pinyin","building_name2_traditional","building_name3_simplified","work_building_identifier","building_name_in_site","building_in_site2_traditional","building_in_site3_simplified","group_batch","number_in_group","number_in_architecture_category_3","building_data","site_name_en","building_name_en","alternate_site_name_pinyin","alternate_site_name_traditional","alternate_site_name_simplified","alternate_building_name_pinyin","building_date","building_start","building_end","decimal_latitude","decimal_longitude","verbatim_latitude","verbatim_longitude","comments_and_field_notes","most_recent_doc","notes","ct_angled_bracket_arm","corner_angled_bracket_arm","ic_angled_bracket_arm","ic_match_ct","number_of_ic_in_central_bay","pupaifang","first_step_touxin","first_step_jixin","cejiao","pizhu_xiaang","qinmian_xiaang","qinmian-pizhu_xiaang","number_of_xiaang","ang-shaped_shuatou","beveled_linggong","chamfered_linggong"
"000017",,"Shanmen","山門","山门","000155","Cuifujunmiao_Shanmen","陵川崔府君庙","陵川崔府君庙",5,266,72,," ","Mountain Gate","Lingchuan Cuifujunmiao, Xianyingwangmiao","陵川崔府君廟,顯應王廟"," 陵川崔府君庙, 显应王庙","Cuifujunmiao","1125-1234","1125","1234",35.79946667,113.1166,"35˚ 47.968 N","113˚ 06.996 E","https://zh.wikipedia.org/wiki/%E5%B4%94%E5%BA%9C%E5%90%9B%E5%BA%99",2009,,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0
"000018",,"guodian","過殿","过殿","000156","Quwo_Dabeiyuan_Guodian","曲沃大悲院过殿","曲沃大悲院过殿",,,,,,"passage hall",,,,"Dabeiyuan Guodian",1180,"1180","1180",35.73436667,111.5450667,"35˚ 44。062","111˚ 32.704'",,,,0,0,0,1,1,1,0,1,1,0,1,0,2,0,0,1
"000019",,"Feilaidian","飛來殿","飞来殿","000157","Damiao_Feilaidian","大廟飛來殿","大庙飞来殿",3,114,62,,,"Feilai_Hall",,,," ","993-1327","0993","1327",,,,,"animal motifs on bracketing: likely a Yuan structure...","*",,,,,,,,,,,,,,,,,
"000020",,"Dafodian","大佛殿","大佛殿","000158","Dayunyuan_Dafodian","大雲院大佛殿","大云院",3,112,60,," Xianyan Cloister","Amitābha Hall","Xianyanyuan, Dayunchanyuan","仙岩院,大雲禪院",,"Mituodian",940,"0940","0940",36.35619167,113.4353267,"36˚ 21' 37.15"" N ( google earth-Cui Junze, no satellite)","113˚ 26' 11.96"" E","10th cen compare to Jidumiao Qingong",1997,,0,0,0,1,1,1,1,0,,0,0,0,0,0,0,1
"000021",,"Wuliangdian","無梁殿","无梁殿","000159","Guanwangmiao_wuliangdian","定襄關王廟無梁殿","定襄关王庙",6,368,"Ⅲ－71",,,"Beamless Hall",,,,,1208,"1208","1208",,,,,"1208 關王殿； see: 中國 文物 地圖集 山西分冊, 中, 571-572 ","*",,,,,,,,,,,,,,,,,
"000022",,"zhengdian","正殿","正殿","000160","Zhoucun_Dongyuemiao_zhengdian","周村东岳廟正殿","周村东岳庙正殿",6,364,67,," ","main hall",,,,"Dongyuemiao",,,,35.47615,112.620216,"35˚ 28.569 N (Garmin)","112˚ 37.213 E",,2009,,0,0,0,0,0,1,0,1," ",0,1,0,1,0,1,0
"000022",,"Caishendian","財神殿","财神殿","000161","Zhoucun_Dongyuemiao_Caishendian","周村东岳廟财神殿","周村东岳庙财神殿",6,364,67,," ","God of Wealth Hall",,,,"Dongyuemiao",,,,35.4762,112.6204833,"35˚ 28.572 N (Garmin)","112˚ 37.229 E","ang and ang-shaped shuatou are only on corners",,,0,0,0,0,0,1,0,1,,0,1,0,1,1,1,0
"000023",,"dadian","大殿","大殿","000162","Dongyi_Longwangmiao_dadian","东邑龙王庙大殿","东邑龙王庙大殿",6,378,81,," ","main hall",,,,"Longwangmiao","1125-1234","1125","1234",36.29381667,113.25975,"36˚17.629 (Garmin)","113˚ 15.585'","Main Hall Jin, see 中國 文物 地圖集 山西分冊, 中, 240","*",,0,0,1,0,1,1,0,1,1,0,1,0,2,1,1,0
"000024",,"Shanmen","山門","山门","000163","Dulesi_Shanmen","独乐寺山門","独乐寺山門",1,84,37,," ","Mountain Gate",,,,"Shanmen",984,"0984","0984",40.0438,117.3966833,"40˚ 02.645' N (Garmin)","117˚ 23.800' N",984,2008,,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1
"000024",,"Guanyinge","觀音閣","观音阁","000164","Dulesi_Guanyinge","独乐寺观音阁","独乐寺观音阁",1,84,37,," ","Guanyin Pavilion",,,,"Guanyinge",984,"0984","0984",40.04408333,117.3966666,"40˚ 02.628' N (Garmin)","117˚ 23.801' E",984,2008,,0,1,0,0,1,0,1,0,1,1,0,0,2,0,0,1
"000025",,"zhengdian","正殿","正殿","000165","Faxingsi_zhengdian","法興寺正殿","法兴寺正殿",3,106,54,," ","main hall  ",,,,"Faxingsi_Zhengdian","1100-1125","1100","1125",35.98437778,112.9065806,"35˚ 59' 03.76"" N (google earth-satellite confirmation)","112˚ 54' 23.69"" E","song elements rebuilt--exclude?","1997?",,0," ",0,0,0,1,1,0," ",0,0,1,2,0,0,1
"000026",,"Hongjiqiao","洪濟橋","洪济桥","000166","Fencheng_Gujianzhuqun_Hongjiqiao","汾城古建筑群","汾城古建筑群",6,384,87,," ","Hongji Bridge",,,," ",1183,,,,,,,"not listed separately in 中國 文物 地圖集, bridge from Jin https://zh.wikipedia.org/wiki/%E6%B1%BE%E5%9F%8E%E5%8F%A4%E5%BB%BA%E7%AD%91%E7%BE%A4","n/a?",,,,,,,,,,,,,,,,,
"000027",,"Daxiongdian","大雄殿 ","大雄殿","000167","Fengguosi_Daxiongdian","奉国寺大雄殿","奉国寺大雄殿",1,86,39,,,"Mahāvīra Hall",,"大雄寶殿",,"Daxiongbaodian",1020,"1020","1020",41.5430333,121.2424167,"41˚ 32.582' N (Garmin)","121˚ 14.545' E","Daxiongdian: 開 泰 九 年 正 月 十 四 起 工 (Feb. 10, 1020) ",2008,,0,0,0,1,1,1,1,0,1,1,0,0,2,0,0,1
"000028",,"Shijiata","釋迦塔","释迦塔 ","000168","Fogongsi_Shijiata","佛宫寺释迦塔","佛宫寺释迦塔",1,71,24,," ","Śākyamuni Pagoda",,"應縣木塔",,"Yingxian muta","1056-1095","1056","1095",39.5650166,113.1817,"39˚ 33.901' N (Garmin)","113˚ 10.902 E","northern pagodas and development of xiegong;pingzuo bracket sets jixin on first step, eaves touxin ",2009,,1,1,1,0,1,1,1,1,1,1,0,0,2,0,0,1
"000029",,"Dongdadian","東大殿","东大殿","000169","Foguangsi_Dongdadian","佛光寺東大殿","佛光寺東大殿",1,80,33,,,"Great East Hall",,,,"Dongdadian",857,"0857","0857",38.8695,113.387333,"38˚ 52.14' N (Magellan)","113˚ 23.22 E","857 early diantang",1999,,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,1
"000029",,"Wenshudian","文殊殿","文殊殿","000170","Foguangsi_Wenshudian","佛光寺文殊殿","佛光寺文殊殿",1,80,33,,,"Mañjuśrī Hall",,,,"Wenshudian",1137,"1137","1137",38.8695,113.387333,"38˚ 52.14' N (Magellan)","113˚ 23.22 E","1137 early Jin dynasty, use of xiegong in central bay; cloud-shaped arm  instead of guazigong makes ct brackt sets jixin; lingong single timber across façade but made to look beveled",1999,"lat/long from Dongdadian",0,0,1,0,1,1,1,1,,0,0,1,1,1,1,0
"000030",,"zhengdian","正殿","正殿","000171","Fotousi_Zhengdian","佛頭寺正殿","佛头寺正殿",6,366,69,," ","great hall",,,,"Zhengdian",,,,36.3581667,113.5761333,"36˚ 21.490' (Garmin)","113˚ 34.568'","Great Hall Song-Jin structure; see: 中國文物地圖集山西分冊, 中, 305 ",2010,,0,0,1,0,1,1,0,1,1,0,1,0,2,1,1,0
"000031",,"Daxiongbaodian ","大雄寶殿","大雄宝殿","000172","Fuxiangsi_Daxiongbaodian","福祥寺大雄寶殿","福祥寺",6,385,88,," ","main hall  ",,,,"Fuxiangsi","1115-1234","1115","1234",,,,,"Daxiongbaodian Jin: see 中國 文物 地圖集 下, 718.","*",,,,,,,,,,,,,,,,,
"000032",,"xitai ","戲台","戏台","000173","Gaoping_Erlangmiao_xitai","高平二郎廟戲台","二郞庙",6,387,90,," ","stage",,,,"Erlangmiao","1125-1234","1125","1234",35.86535,112.8704,"35˚ 51.921 N (Garmin)","112˚ l51.224 E","earliest stage",2009,,0,0,0,0,2," ",0,1,0,0,1,0,1,1,0," "
"000033",,"Wenshudian","文殊殿","文殊殿","000174","Geyuansi_Wenshudian","阁院寺文殊殿","阁院寺文殊殿",4,95,17,," ","Mañjuśrī Hall",,,,"Geyuansi",977,"0977","0977",39.353,114.681833,"39˚ 21.18' N (Magellan)","114˚ 40.91' E","Liao building with mojiaogong but no fan brackets; cloud bracket arms make it jixin",1999,,0,1,0,0," ",1,0,1,1,0,0,0,0,0,0,1
"000034",,"Shanjita","善濟塔","善济塔","000175","Guangdesi_Shanjita","廣德寺善濟塔","广德寺善济塔",6,703,406,,,"Shanji Pagoda",,,," ",,,,,,,,"no date information in ZGMSCD, 910; Song stele; see: http://baike.baidu.com/view/113543.htm","n/a?",,,,,,,,,,,,,,,,,
